https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1619656003,2021-04-29 00:26:43,LTC/USDT,255.36192756,255.36192756,255.36192756,255.36192756,0.0,0.0
1619654400,2021-04-29 00:00:00,LTC/USDT,258.14750538,262.61981482,248.64072417,255.36192756,3023922.54236298,11830.01410737
1619570067,2021-04-28 00:34:27,LTC/USDT,258.07896043,258.07896043,258.07896043,258.07896043,0.0,0.0
1619568000,2021-04-28 00:00:00,LTC/USDT,259.89522233,266.87574526,248.18316707,258.07896043,5118278.68558771,20010.20233527
1619483062,2021-04-27 00:24:22,LTC/USDT,259.51971709,259.51971709,259.51971709,259.51971709,0.0,0.0
1619481600,2021-04-27 00:00:00,LTC/USDT,246.89294894,262.94744153,243.88860001,259.51971709,3987942.67681316,15635.8911027
1619396691,2021-04-26 00:24:51,LTC/USDT,247.51812449,247.51812449,247.51812449,247.51812449,0.0,0.0
1619395200,2021-04-26 00:00:00,LTC/USDT,223.86132574,248.07712487,221.42528152,247.51812449,4547826.83224764,19036.84578114
1619310236,2021-04-25 00:23:56,LTC/USDT,223.36132574,223.36132574,223.36132574,223.36132574,0.0,0.0
1619308800,2021-04-25 00:00:00,LTC/USDT,224.6961,235.68763583,211.0,223.36132574,3374140.56357437,15111.05875328
1619223986,2021-04-24 00:26:26,LTC/USDT,224.94483,224.94483,224.94483,224.94483,0.0,0.0
1619222400,2021-04-24 00:00:00,LTC/USDT,241.03672625,241.13680559,220.57804551,224.94483,3870184.02413571,16828.47112406
1619137410,2021-04-23 00:23:30,LTC/USDT,241.33720001,241.33720001,241.33720001,241.33720001,0.0,0.0
1619136000,2021-04-23 00:00:00,LTC/USDT,252.52010528,256.9664102,213.33446453,241.33720001,9228128.7379663,39714.23791551
1619051061,2021-04-22 00:24:21,LTC/USDT,252.60847727,252.60847727,252.60847727,252.60847727,0.0,0.0
1619049600,2021-04-22 00:00:00,LTC/USDT,258.30827232,289.36089772,240.0,252.60847727,9751011.47688754,36234.74868422
1618965975,2021-04-21 00:46:15,LTC/USDT,257.85429954,257.85429954,257.85429954,257.85429954,0.0,0.0
1618963200,2021-04-21 00:00:00,LTC/USDT,261.02076,276.57573229,251.10486077,257.85429954,4832419.12995344,18242.12131835
1618878209,2021-04-20 00:23:29,LTC/USDT,260.70165611,260.70165611,260.70165611,260.70165611,0.0,0.0
1618876800,2021-04-20 00:00:00,LTC/USDT,261.27979467,272.62700117,234.37062948,260.70165611,6832123.0335194,27158.47487366
1618791847,2021-04-19 00:24:07,LTC/USDT,261.02427399,261.02427399,261.02427399,261.02427399,0.0,0.0
1618790400,2021-04-19 00:00:00,LTC/USDT,273.56522956,281.77692376,250.26359994,261.02427399,5018114.82721983,18849.50516639
1618705336,2021-04-18 00:22:16,LTC/USDT,273.61235492,273.61235492,273.61235492,273.61235492,0.0,0.0
1618704000,2021-04-18 00:00:00,LTC/USDT,301.10275118,304.51771035,231.21414435,273.61235492,13384232.36821311,50308.58944859
1618619238,2021-04-17 00:27:18,LTC/USDT,301.3,301.3,301.3,301.3,0.0,0.0
1618617600,2021-04-17 00:00:00,LTC/USDT,308.77847,335.19813488,297.2725,301.3,13054303.68160059,41290.07425604
1618532808,2021-04-16 00:26:48,LTC/USDT,308.36346456,308.36346456,308.36346456,308.36346456,0.0,0.0
1618531200,2021-04-16 00:00:00,LTC/USDT,285.96568,316.61736835,265.78947368,308.36346456,18448915.72690818,63258.2774568
1618446350,2021-04-15 00:25:50,LTC/USDT,285.73780205,285.73780205,285.73780205,285.73780205,0.0,0.0
1618444800,2021-04-15 00:00:00,LTC/USDT,279.03142534,290.65071723,266.04968735,285.73780205,6079421.05440817,21783.79250811
1618360863,2021-04-14 00:41:03,LTC/USDT,278.53142534,278.53142534,278.53142534,278.53142534,0.0,0.0
1618358400,2021-04-14 00:00:00,LTC/USDT,267.54978659,283.00332471,255.29774197,278.53142534,8911537.31541626,33038.62385024
1618273319,2021-04-13 00:21:59,LTC/USDT,267.39679862,267.39679862,267.39679862,267.39679862,0.0,0.0
1618272000,2021-04-13 00:00:00,LTC/USDT,244.73529842,273.20983907,244.73529842,267.39679862,5963582.55603098,22709.56819563
1618186934,2021-04-12 00:22:14,LTC/USDT,244.62401312,244.62401312,244.62401312,244.62401312,0.0,0.0
1618185600,2021-04-12 00:00:00,LTC/USDT,252.80971785,258.80283639,240.26322158,244.62401312,3486601.9024347,13994.52892105
1618100432,2021-04-11 00:20:32,LTC/USDT,252.4848956,252.4848956,252.4848956,252.4848956,0.0,0.0
1618099200,2021-04-11 00:00:00,LTC/USDT,256.27356463,263.25648,245.0,252.4848956,5040126.44749349,19795.36411079
1618014246,2021-04-10 00:24:06,LTC/USDT,256.27202774,256.27202774,256.27202774,256.27202774,0.0,0.0
1618012800,2021-04-10 00:00:00,LTC/USDT,221.09819786,256.27302113,219.26409991,256.27202774,5388706.12909494,22670.25364879
1617927745,2021-04-09 00:22:25,LTC/USDT,220.85412102,220.85412102,220.85412102,220.85412102,0.0,0.0
1617926400,2021-04-09 00:00:00,LTC/USDT,226.46572156,228.83567326,219.0,220.85412102,1861558.65692154,8287.42832496
1617841450,2021-04-08 00:24:10,LTC/USDT,226.28395299,226.28395299,226.28395299,226.28395299,0.0,0.0
