https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1617755202,2021-04-07 00:26:42,XRP/USDT,0.91912498,0.91912498,0.91912498,0.91912498,0.0,0.0
1617753600,2021-04-07 00:00:00,XRP/USDT,1.09547766,1.10930517,0.857,0.91912498,25993970.51230555,26980800.27141795
1617668666,2021-04-06 00:24:26,XRP/USDT,1.09608313,1.09608313,1.09608313,1.09608313,0.0,0.0
1617667200,2021-04-06 00:00:00,XRP/USDT,0.91531164,1.11724819,0.807,1.09608313,43802181.9622743,44738288.31073214
1617582139,2021-04-05 00:22:19,XRP/USDT,0.91373964,0.91373964,0.91373964,0.91373964,0.0,0.0
1617580800,2021-04-05 00:00:00,XRP/USDT,0.63481196,0.93898721,0.61965311,0.91373964,30613089.79597134,40030297.63579409
1617495594,2021-04-04 00:19:54,XRP/USDT,0.63462799,0.63462799,0.63462799,0.63462799,0.0,0.0
1617494400,2021-04-04 00:00:00,XRP/USDT,0.57821202,0.63548546,0.56577832,0.63462799,3891733.39055821,6489437.40135159
1617408814,2021-04-03 00:13:34,XRP/USDT,0.57870997,0.57870997,0.57870997,0.57870997,0.0,0.0
1617408000,2021-04-03 00:00:00,XRP/USDT,0.60749141,0.64171394,0.574,0.57870997,7462292.64160039,12125512.66547031
1617322373,2021-04-02 00:12:53,XRP/USDT,0.60705516,0.60705516,0.60705516,0.60705516,0.0,0.0
1617321600,2021-04-02 00:00:00,XRP/USDT,0.5720296,0.60932163,0.56536019,0.60705516,5883471.93124619,10014469.02873644
1617235989,2021-04-01 00:13:09,XRP/USDT,0.57031865,0.57031865,0.57031865,0.57031865,0.0,0.0
1617235200,2021-04-01 00:00:00,XRP/USDT,0.57010967,0.595,0.549,0.57031865,4259014.08664997,7496414.02404597
1617149618,2021-03-31 00:13:38,XRP/USDT,0.56909305,0.56909305,0.56909305,0.56909305,0.0,0.0
1617148800,2021-03-31 00:00:00,XRP/USDT,0.56248503,0.57632307,0.52794941,0.56909305,5262588.64653698,9559974.46811271
1617063238,2021-03-30 00:13:58,XRP/USDT,0.56246269,0.56246269,0.56246269,0.56246269,0.0,0.0
1617062400,2021-03-30 00:00:00,XRP/USDT,0.56536361,0.587,0.55943596,0.56246269,4131099.70603888,7245287.35629655
1616976622,2021-03-29 00:10:22,XRP/USDT,0.56516595,0.56516595,0.56516595,0.56516595,0.0,0.0
1616976000,2021-03-29 00:00:00,XRP/USDT,0.54553541,0.57030382,0.54360016,0.56516595,3486000.64230479,6218542.91311499
1616890313,2021-03-28 00:11:53,XRP/USDT,0.5457285,0.5457285,0.5457285,0.5457285,0.0,0.0
1616889600,2021-03-28 00:00:00,XRP/USDT,0.54721762,0.56035131,0.53897559,0.5457285,2365472.17175916,4316165.43523308
1616803909,2021-03-27 00:11:49,XRP/USDT,0.54762572,0.54762572,0.54762572,0.54762572,0.0,0.0
1616803200,2021-03-27 00:00:00,XRP/USDT,0.56379978,0.57434741,0.53308791,0.54762572,2716666.37196545,4916435.19490393
1616717455,2021-03-26 00:10:55,XRP/USDT,0.56330541,0.56330541,0.56330541,0.56330541,0.0,0.0
1616716800,2021-03-26 00:00:00,XRP/USDT,0.51061976,0.57632435,0.51061976,0.56330541,6904737.06364093,12717071.61565317
