https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1620518400,2021-05-09 00:00:00,BTC/USDT,58773.13754579,58944.30346611,58614.88117054,58775.64102111,566032.73069815,9.63251267
1620432000,2021-05-08 00:00:00,BTC/USDT,57313.91438889,59343.55101741,56926.72561086,58773.13754579,64548811.70132122,1103.5472992
1620345600,2021-05-07 00:00:00,BTC/USDT,56407.51718,58615.06970645,55246.8297108,57313.91438888,59516763.95723376,1046.38787694
1620259200,2021-05-06 00:00:00,BTC/USDT,57424.0,58344.0766,55211.43180154,56405.75600635,49439913.53161747,869.657399
1620172800,2021-05-05 00:00:00,BTC/USDT,53237.79126802,57948.32741812,53000.0,57424.0,58125189.06335231,1040.53928183
1620087793,2021-05-04 00:23:13,BTC/USDT,53252.32474916,53252.32474916,53252.32474916,53252.32474916,0.0,0.0
1620086400,2021-05-04 00:00:00,BTC/USDT,57185.5104873,58300.0,51050.0,53252.32474916,90319488.96215184,1644.41040495
1620001434,2021-05-03 00:23:54,BTC/USDT,57164.68560075,57164.68560075,57164.68560075,57164.68560075,0.0,0.0
1620000000,2021-05-03 00:00:00,BTC/USDT,56566.55530386,58900.0,56458.0072,57164.68560075,42715029.11430821,736.91530945
1619915076,2021-05-02 00:24:36,BTC/USDT,56576.03747582,56576.03747582,56576.03747582,56576.03747582,0.0,0.0
1619913600,2021-05-02 00:00:00,BTC/USDT,57798.99999999,57892.55619629,56079.39408577,56576.03747582,27444998.88278685,483.32819001
1619828690,2021-05-01 00:24:50,BTC/USDT,57794.78993278,57794.78993278,57794.78993278,57794.78993278,0.0,0.0
1619827200,2021-05-01 00:00:00,BTC/USDT,57655.73573356,58363.08275413,57001.0,57794.78993278,30551809.58883524,528.36910172
1619742222,2021-04-30 00:23:42,BTC/USDT,57655.73573357,57655.73573357,57655.73573357,57655.73573357,0.0,0.0
1619740800,2021-04-30 00:00:00,BTC/USDT,53550.23737002,57800.0,53050.00000001,57655.73573357,38174093.28489724,684.63974423
1619656003,2021-04-29 00:26:43,BTC/USDT,53550.93177035,53550.93177035,53550.93177035,53550.93177035,0.0,0.0
1619654400,2021-04-29 00:00:00,BTC/USDT,54831.0,55175.47199462,52375.4764071,53550.93177035,29214484.5097857,543.57924054
1619570067,2021-04-28 00:34:27,BTC/USDT,54827.0,54827.0,54827.0,54827.0,0.0,0.0
1619568000,2021-04-28 00:00:00,BTC/USDT,55013.75075001,56312.97486422,53806.14,54827.0,55079134.9377064,1004.03785404
1619483062,2021-04-27 00:24:22,BTC/USDT,55013.899012,55013.899012,55013.899012,55013.899012,0.0,0.0
1619481600,2021-04-27 00:00:00,BTC/USDT,53954.43534806,55400.0,53268.02580217,55013.899012,57506962.83418982,1053.90841268
1619396691,2021-04-26 00:24:51,BTC/USDT,54011.88430215,54011.88430215,54011.88430215,54011.88430215,0.0,0.0
1619395200,2021-04-26 00:00:00,BTC/USDT,49066.82057882,54331.9419514,48730.36407805,54011.88430215,61437343.70068158,1159.99854235
1619310236,2021-04-25 00:23:56,BTC/USDT,49093.37723188,49093.37723188,49093.37723188,49093.37723188,0.0,0.0
1619308800,2021-04-25 00:00:00,BTC/USDT,50090.43264716,50532.42910469,47000.0,49093.37723188,46790079.14103107,952.23982042
1619223986,2021-04-24 00:26:26,BTC/USDT,50021.51824079,50021.51824079,50021.51824079,50021.51824079,0.0,0.0
1619222400,2021-04-24 00:00:00,BTC/USDT,51122.81572654,51177.07445741,48688.0,50021.51824079,52908720.01930574,1061.1353824
1619137410,2021-04-23 00:23:30,BTC/USDT,51130.6238366,51130.6238366,51130.6238366,51130.6238366,0.0,0.0
